"id";"FECHA";"DESDE";"HASTA";"LOCALIDAD";"GRUPO";"DIRECCION";"FARMACIA";"Cod_FARMACIA";"TELEFONO"
"281";"04/12/2023";"9";"9";"Cabredo";"Los Arcos - Viana";"C/ Mayor, 8. Junto a la Iglesia";"Lumbreras Casis, Isabel";"F00317";"948 444061"
"282";"04/12/2023";"9";"9";"Caparroso";"Carcastillo - Olite";"C/ Constitucion, 14";"Aicua Redondo, Laura";"F00744";"948933331"
"283";"04/12/2023";"9";"9";"Cáseda";"Sangüesa";"C/ Nueva, 1";"Larriba Alastuey, Javier";"F00254";"948 879286"
"284";"04/12/2023";"9";"9";"Corella";"Corella - Cintruénigo";"Pl Fueros, 2";"Poyales Morales, Elena";"F00094";"948 780017"
"285";"04/12/2023";"9";"9";"Cortes";"Buñuel - Cascante";"C/ San Miguel, 42";"Puig Zafon, Virginia";"F00462";"948 800622"
"286";"04/12/2023";"9";"9";"Doneztebe / Santesteban";"Doneztebe/Santesteban";"C/ Mercaderes, 1";"Mendia Ibarra, Elvira Ainara";"F00082";"948 450092"
"287";"04/12/2023";"9";"9";"Goizueta";"Etxarri-Aranatz, Irurtzun, Leitza, Ultzama";"C/ Mayor, 64";"Apecechea Lizaso, Luis Miguel";"F00104";"948 514353"
"288";"04/12/2023";"9";"9";"Larraga";"Artajona";"C/ Palanquera, 18";"Los Arcos Garcia, Maria Jesus";"F00471";"948 711236"
"289";"04/12/2023";"9";"9";"Lekunberri";"Etxarri-Aranatz, Irurtzun, Leitza, Ultzama";"C/ Aralar, 43";"Zubiria Azpiroz, Maialen";"F00127";"948 504062"
"290";"04/12/2023";"9";"9";"Lezaun";"Comarca de Estella";"Pl Mayor, 3";"Ros Nestares, Carlos Javier";"F00325";"948 542272"
"291";"04/12/2023";"9";"9";"Los Arcos";"Los Arcos - Viana";"C/ Mayor, 27";"Ochoa Cortazar, Eva Maria";"F00375";"948 640786"
"292";"04/12/2023";"9";"9";"Mañeru";"Puente la Reina";"Pl de los Fueros, 1";"Alegre Navarro, Jaione";"F00266";"948 340771"
"293";"04/12/2023";"9";"9";"Mendavia";"Lodosa";"C/ Mayor, 4";"Sagredo Loitegui, Cristina";"F00579";"948 695020"
"294";"04/12/2023";"9";"9";"Oronoz";"Elizondo";"C/ Santa María, 33";"Mariñelarena Apezteguia, Patricia";"F00442";"948 592327"
"295";"04/12/2023";"9";"9";"Peralta / Azkoien";"Peralta";"C/ Irurzun, 10";"Irisarri Moreno, Cristina";"F00518";"948 753192"
"296";"04/12/2023";"9";"9";"San Adrián";"San Adrián";"C/ Santa Gema, 30";"Moreno Sola, Beatriz";"F00533";"948 670111"
